Tweets,Username,Created_at,User location,Coordinates
"Time to freshen up for the evening! Enjoy a classic decoration with modern details... 💦

#hotel #hotelbathroom… https://t.co/CtF3mKCEsL",MetropoleH,2019-11-28 13:29:37,"Heraklion, Greece",-
Discover a new concept of luxury care-free living thesyntopia #luxury #travel #hotel #crete #rethymnon https://t.co/jOq7SPPD5O,PRMEDIACO,2019-11-27 16:26:36,,-
"It’s beginning to look a lot like Christmas🎄

Find us at https://t.co/kC0xOPMmGp

#GDMMegaron #Luxury #Historical… https://t.co/vCm6NGieV7",gdmmegaron,2019-11-27 07:16:29,"Ηράκλειο, Ελλάς","[[[25.0408554, 35.1898931], [25.2052619, 35.1898931], [25.2052619, 35.3522629], [25.0408554, 35.3522629]]]"
