Tweets,Username,Created_at,User location,Coordinates
Meeting... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #lasithicrete … https://www. instagram.com/p/Bpi_dIClMX3L qEG_fV-K1NYoIiRKQiVmiowGUc0/?utm_source=ig_twitter_share&igshid=1szrmymbv8284 …,henrick@gm,10/30/2018 8:12,"London,UK",-
“A great weekend in @creteisland came to an end. Thank you very much @bluestarferries for a safe,henrick@gm,10/29/2018 16:40,"London,UK",-
Missing... #nikon #nikon5300d #Nikond5300 #Greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crête #creteisland #Crete #heraklion … https://www. instagram.com/p/BpgbLB4FW_tM pvs6JMpFdUuX0Vt49vOo3NgNXA0/?utm_source=ig_twitter_share&igshid=sl95t8ntwlm9 …,henrick@gm,10/29/2018 8:16,"London,UK",-
Not as warm as it looks . #goprofusion #cretegreece #creteisland #sunshine @Crete https://www. instagram.com/p/BpeMK_YhfiW/ ?utm_source=ig_twitter_share&igshid=azi921xnycwg …,henrick@gm,10/28/2018 11:27,"London,UK",-
Hania old town #hania #crete #discovercrete #travel #creteisland #letsgoshoot #teo_foutzopoulos https://www. instagram.com/p/Bpc1itlHhN0/ ?utm_source=ig_twitter_share&igshid=1gm28gqrmhh7 …,henrick@gm,10/28/2018 1:20,"London,UK",-
Rethymno old port #rethymno #portofrethymno #beautifullday #creteisland #travel #justgoshoot #teo_foutzopoulos https://www. instagram.com/p/Bpc1-AenFyJ/ ?utm_source=ig_twitter_share&igshid=k2i7kr364fpt …,henrick@gm,10/28/2018 0:01,"London,UK",-
Hania old town #hania #crete #discovercrete #travel #creteisland #letsgoshoot #teo_foutzopoulos https://www. instagram.com/p/Bpc1itlHhN0/ ?utm_source=ig_twitter_share&igshid=185fkgatcjyz5 …,henrick@gm,10/28/2018 0:00,"London,UK",-
Krit danas :) #creteisland pic.twitter.com/E1jLyiVFV6,henrick@gm,10/27/2018 13:03,"London,UK",-
Silence Vol. 2 #nikon #nikon5300d #Nikond5300 #Greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crête #crete #creteisland #heraklion … https://www. instagram.com/p/BpbTKVlFSvms dP-pNaymkTUMtrX3vG9qzBpE080/?utm_source=ig_twitter_share&igshid=i57cct3u1x52 …,henrick@gm,10/27/2018 9:30,"London,UK",-
#morningjump #creteisland #pier #heraklionport #eatclean #fitspo #trainyourmind #endofoctober #beautifulskies #interishere #interista #interisback #visitgreece #grecia #griechenland … https://www. instagram.com/p/BpYZmVSFEdn/ ?utm_source=ig_twitter_share&igshid=pz28aob1nmp5 …,henrick@gm,10/26/2018 6:28,"London,UK",-
Impromptu stop had to happen for this view! #landscapephotography #landscapephotography #mountains #mountainview #landscapelover #crete #creteisland #summer #travel_shot … https://www. instagram.com/p/BpWo4IxnRLy/ ?utm_source=ig_twitter_share&igshid=1jn8nw75bhm4e …,henrick@gm,10/25/2018 14:04,"London,UK",-
Black out #nikon #nikon5300d #Nikond5300 #greece #Greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete … https://www. instagram.com/p/BpWCXMzlq4wd e61Y3taq6w55OffIH7DriCdcTY0/?utm_source=ig_twitter_share&igshid=1em6iydn4mmlg …,henrick@gm,10/25/2018 8:27,"London,UK",-
Blue #crete #creteisland #grecia #instafoto en Bálos https://www. instagram.com/p/BpUTJqsAJCB/ ?utm_source=ig_twitter_share&igshid=1e16y95lo24p1 …,henrick@gm,10/24/2018 16:15,"London,UK",-
Wet... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania … https://www. instagram.com/p/BpTdEMClQLJ- aZqKrAxlmOiPhwZBW18mfLOOEk0/?utm_source=ig_twitter_share&igshid=1l11chljh2q4o …,henrick@gm,10/24/2018 8:23,"London,UK",-
#SW9AG #Amoudara #CreteIsland #dx SW9AG - Amoudara - Crete Island - Forums https:// dxnews.com/forum/forum/dx ing/13324-sw9ag-amoudara-crete-island … SW9AG on 7016 now,henrick@gm,10/24/2018 0:03,"London,UK",-
#SW9AG #Amoudara #CreteIsland #dx SW9AG - Amoudara - Crete Island - Forums https:// dxnews.com/forum/forum/dx ing/13324-sw9ag-amoudara-crete-island … SW9AG on 7016 now,henrick@gm,10/23/2018 23:53,"London,UK",-
The land of beautiful beaches! #crete #kreta #greece #creteisland #bali #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BpSGhbMC3xE/ ?utm_source=ig_twitter_share&igshid=10lc795co4ltb …,henrick@gm,10/23/2018 19:48,"London,UK",-
My love #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/BpQ4cwultWEJ RdxmIK-e5lGEdc9ja0nBVHaOTo0/?utm_source=ig_twitter_share&igshid=4sutnn5wm173 …,henrick@gm,10/23/2018 8:24,"London,UK",-
Wondering where 2019 will take me ..... . . #infinitypool #enjoyingthemoment #takingintheview #creteisland #greece #simpsontravel #cretevilla #nottooshabby #bluesky #poolview … https://www. instagram.com/p/BpQ1no0lYuY/ ?utm_source=ig_twitter_share&igshid=ukdkg8mx8ukh …,henrick@gm,10/23/2018 7:59,"London,UK",-
