username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-09-23 16:05;0;0;"Aunque también tenga espuma no todo van a ser cervezas en la playa #frappe #greekcoffe #café #coffe #balosbeach #balos #crete #creteisland #EdimburgoextensiónCreta #baloslagoon #estamosbiengracias #vidorralollaman https:// ift.tt/2OREOKE pic.twitter.com/hF8Fg0qbxF";;;#frappe #greekcoffe #café #coffe #balosbeach #balos #crete #creteisland #EdimburgoextensiónCreta #baloslagoon #estamosbiengracias #vidorralollaman;"1043848952678944768";https://twitter.com/dgrisalena/status/1043848952678944768
;2018-09-23 11:07;0;3;"The true purpose of education is to make minds not careers. #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland … https://www. instagram.com/p/BoD7P8IFCat/ ?utm_source=ig_twitter_share&igshid=7ue4f2dajm94 …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland;"1043773866131312641";https://twitter.com/swter02027/status/1043773866131312641
;2018-09-22 21:40;0;0;"Natural wedding on the blog! LINK IN BIO Photographer : @planhue Videography : @planhue Wedding Dress : @demetriosbride Wedding Set & Wreaths : @zoulovits . . . . . #greece #crete #greekislands #creteisland #weddingstyle #bridalstyle #weddingdesign #he … http:// bit.ly/2pw0AZs pic.twitter.com/ygoMGsx8Em";;@planhue @planhue @demetriosbride @zoulovits;#greece #crete #greekislands #creteisland #weddingstyle #bridalstyle #weddingdesign #he;"1043570818922500096";https://twitter.com/everafter_gr/status/1043570818922500096
;2018-09-22 19:51;0;0;"Sunset in Mochlos! #crete #creteisland #greece #lovegreece #mochlos #holiday #summer #summerlover #traveller #travelgram #travelling #love #sea #beach #island #september #tourist … https://www. instagram.com/p/BoCSaaJCjgY/ ?utm_source=ig_twitter_share&igshid=121zyccbpijm0 …";;;#crete #creteisland #greece #lovegreece #mochlos #holiday #summer #summerlover #traveller #travelgram #travelling #love #sea #beach #island #september #tourist;"1043543360986857472";https://twitter.com/HealthyHappyITA/status/1043543360986857472
;2018-09-22 19:05;0;0;"Aunque sean vacaciones hay que almorzar sano #cerveceando #cerveza #birratime #birra #fixbeerhellas #fixbeer #creta #creteisland #crete #kedrodasos #kedrodasosbeach #kedrodasoscrete https:// ift.tt/2xF2NFL pic.twitter.com/nE5UJIFPZA";;;#cerveceando #cerveza #birratime #birra #fixbeerhellas #fixbeer #creta #creteisland #crete #kedrodasos #kedrodasosbeach #kedrodasoscrete;"1043531811446493184";https://twitter.com/dgrisalena/status/1043531811446493184
;2018-09-22 17:45;0;1;"Stunning view #crete #kreta #greece #creteisland #heraklion #koule #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/BoCD_aaHKGL/ ?utm_source=ig_twitter_share&igshid=d38k86r9hr2n …";;;#crete #kreta #greece #creteisland #heraklion #koule #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism;"1043511637532192769";https://twitter.com/ManolisVarouhas/status/1043511637532192769
;2018-09-22 16:30;1;1;"Birazda Yunanistan yapalım. Gelecek aya bakarız #greece #creteisland #sunbath @Crete, Greece https://www. instagram.com/p/BoB7ZaAH6KA8 4YvgD809YRc3gQWqCqyagAQpkA0/?utm_source=ig_twitter_share&igshid=1jk3ewnwk5mv6 …";;@Crete;#greece #creteisland #sunbath;"1043492703378526209";https://twitter.com/tarcinbakir/status/1043492703378526209
;2018-09-22 14:50;0;1;"Love Crete in September! Beautiful Weather, amazing Sites, wonderful Views & Tailored Experiences just for You!! #heraklion #heraklioncrete #crete #creteisland #septembermood … https://www. instagram.com/p/BoBwAvVCNRu/ ?utm_source=ig_twitter_share&igshid=6101xmz32j9m …";;;#heraklion #heraklioncrete #crete #creteisland #septembermood;"1043467691380629504";https://twitter.com/marilinapaters/status/1043467691380629504
;2018-09-22 12:47;1;0;"Im #Hafen von #Heraklion auf #Kreta , #Griechenland . #travel #Reise #reisen #urlaub #ferien #ttot #Kreuzfahrt #summer #lovegreece #crete #greece #creteisland #cretegreece #crète #sea … https://www. instagram.com/p/BoBh2_KAuH7/ ?utm_source=ig_twitter_share&igshid=1el56seo5ckqb …";;;#Hafen #Heraklion #Kreta #Griechenland #travel #Reise #reisen #urlaub #ferien #ttot #Kreuzfahrt #summer #lovegreece #crete #greece #creteisland #cretegreece #crète #sea;"1043436549805957120";https://twitter.com/Reise_Blog/status/1043436549805957120
;2018-09-22 09:52;0;2;"Run... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/BoBN4aSlAzX/ ?utm_source=ig_twitter_share&igshid=vg7yl1dgh5vn …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography;"1043392614446313472";https://twitter.com/swter02027/status/1043392614446313472
;2018-09-21 23:40;0;0;"Beautiful natural wedding on the blog! LINK IN BIO Photographer : @planhue Videography : @planhue Wedding Dress : @demetriosbride Wedding Set & Wreaths : @zoulovits . . . . . #greece #crete #greekislands #creteisland #weddingstyle #bridalstyle #wedding … http:// bit.ly/2OK2e4M pic.twitter.com/Me6V8mnV8c";;@planhue @planhue @demetriosbride @zoulovits;#greece #crete #greekislands #creteisland #weddingstyle #bridalstyle #wedding;"1043238622705733632";https://twitter.com/everafter_gr/status/1043238622705733632
;2018-09-21 23:05;1;0;"Atardecer en el puerto de Chaniá #atardeceres #sunset #faro #lighthouse #puerto #port #chania #chaniacrete #chaniaport #creta #crete #creteisland #EdimburgoextensiónCreta https:// ift.tt/2NZw6go pic.twitter.com/zpyTBbTXOz";;;#atardeceres #sunset #faro #lighthouse #puerto #port #chania #chaniacrete #chaniaport #creta #crete #creteisland #EdimburgoextensiónCreta;"1043229801614647296";https://twitter.com/dgrisalena/status/1043229801614647296
;2018-09-21 21:05;0;0;"Two brides, two bouquets! . . . Venue and catering: agrecofarms Photographer: @pahountisg Flatware: white_lilac_rentals Cakes: thecakersgr #loveisintheair #crete #creteisland … https://www. instagram.com/p/Bn_18zngdoC/ ?utm_source=ig_twitter_share&igshid=1q0fz0d2yr8x3 …";;@pahountisg;#loveisintheair #crete #creteisland;"1043199472682115073";https://twitter.com/Hel1_RPSEvents/status/1043199472682115073
;2018-09-21 18:43;0;0;"NO FILTER! This is the real color of the sea ! #crete #creteisland #greece #lovegreece #nofilter #holiday #summer #blue #traveller #travelgram #travelling #love #sea #beach … https://www. instagram.com/p/Bn_l1zvizVH/ ?utm_source=ig_twitter_share&igshid=kmsmll0g0icx …";;;#crete #creteisland #greece #lovegreece #nofilter #holiday #summer #blue #traveller #travelgram #travelling #love #sea #beach;"1043163849296359426";https://twitter.com/HealthyHappyITA/status/1043163849296359426
;2018-09-21 13:28;0;2;"No comment #holidays #crete #creteisland #creta #greece #grecia #vacaciones #porquemelomerezco #ypunto http:// zpr.io/68Hgb pic.twitter.com/QvoZNh8Wum";;;#holidays #crete #creteisland #creta #greece #grecia #vacaciones #porquemelomerezco #ypunto;"1043084527613239296";https://twitter.com/paulacazenave/status/1043084527613239296
;2018-09-21 12:41;0;0;"Good morning, Crete! #crete #creteisland #greece #lovegreece #mochlos #holiday #summer #summerneverfinish #traveller #travelgram #travelling #love #sea #beach #island #september … https://www. instagram.com/p/Bn-8WvnihQX/ ?utm_source=ig_twitter_share&igshid=webpv92vr3cr …";;;#crete #creteisland #greece #lovegreece #mochlos #holiday #summer #summerneverfinish #traveller #travelgram #travelling #love #sea #beach #island #september;"1043072625696628736";https://twitter.com/HealthyHappyITA/status/1043072625696628736
;2018-09-21 07:32;0;4;"Ready... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/Bn-ZBCellA5/ ?utm_source=ig_twitter_share&igshid=ofmlv8a0w5om …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography;"1042994888181080065";https://twitter.com/swter02027/status/1042994888181080065
;2018-09-20 17:52;0;1;"Run! #crete #kreta #greece #creteisland #heraklion #koule #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/Bn87KpnCQ88/ ?utm_source=ig_twitter_share&igshid=1o3q5orfwmsrx …";;;#crete #kreta #greece #creteisland #heraklion #koule #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism;"1042788545000165376";https://twitter.com/ManolisVarouhas/status/1042788545000165376
;2018-09-20 08:09;0;1;"The end... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania #amateurphotography … https://www. instagram.com/p/Bn74gKbl0Q1/ ?utm_source=ig_twitter_share&igshid=scuba40mtvhi …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania #amateurphotography;"1042641921129295874";https://twitter.com/swter02027/status/1042641921129295874
;2018-09-19 22:37;0;1;"Missing this time by the pool .. Wy też tak macie, że dopiero co zakończycie wakacje a już chcielibyście jechać na następne? .. #crete #cretegreece #creteisland #summervibes pic.twitter.com/J58AvteHdf";;;#crete #cretegreece #creteisland #summervibes;"1042497950772019202";https://twitter.com/simplyhappypl/status/1042497950772019202
;2018-09-19 15:31;0;0;"Ni tan lejos, ni tan cerca . . . . . #creteisland #distance #sea #beach #hersonissos #flechas #summer #travelgreece #holidays #ilovegreece #greece #instacrete #girlbcn #loveisland https://www. instagram.com/p/Bn6GT_qBFpT/ ?utm_source=ig_twitter_share&igshid=1jmd9ixqf5uu0 …";;;#creteisland #distance #sea #beach #hersonissos #flechas #summer #travelgreece #holidays #ilovegreece #greece #instacrete #girlbcn #loveisland;"1042390816176656385";https://twitter.com/Sarai6/status/1042390816176656385
;2018-09-19 07:10;0;2;"In da forest... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/Bn5M95aluxN/ ?utm_source=ig_twitter_share&igshid=1gf77hlu46bkn …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion;"1042264703068790785";https://twitter.com/swter02027/status/1042264703068790785
;2018-09-18 09:28;0;0;"#SV9DL4YAJ #CreteIsland #dx SV9/DL4YAJ - Crete Island - Forums https:// dxnews.com/forum/forum/io ta/12637-sv9-dl4yaj-crete-island … SV9/DL4YAJ on 14270 now";;;#SV9DL4YAJ #CreteIsland #dx;"1041936914385907713";https://twitter.com/ea4dau/status/1041936914385907713
;2018-09-18 09:28;0;1;"#SV9DL4YAJ #CreteIsland #dx SV9/DL4YAJ - Crete Island - Forums https:// dxnews.com/forum/forum/io ta/12637-sv9-dl4yaj-crete-island … SV9/DL4YAJ on 14270 now";;;#SV9DL4YAJ #CreteIsland #dx;"1041936885491396608";https://twitter.com/DXInformation/status/1041936885491396608
;2018-09-18 08:25;0;1;"Stand by position #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/Bn2wvE7FaW9/ ?utm_source=ig_twitter_share&igshid=1mwoxqgp8s3nr …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion;"1041921147162505216";https://twitter.com/swter02027/status/1041921147162505216
;2018-09-18 08:20;0;2;"A really old tree #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #thisiscrete #tree #olive #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/Bn2wH_di21K/ ?utm_source=ig_twitter_share&igshid=87a2mp2xgcn …";;;#crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #thisiscrete #tree #olive #tourist #tourism #travelling #traveler #tourism;"1041919826397220865";https://twitter.com/ManolisVarouhas/status/1041919826397220865
;2018-09-18 02:56;0;1;"Chania Crete Greece at sunset ! Always a place to be . . . . #CretanHoney #thymehoney #crete #greece #creteisland #welovegreece #greek #sunset #greeksunset #visitgreece #sfakia … https://www. instagram.com/p/Bn2LCzzlQAe/ ?utm_source=ig_twitter_share&igshid=vin49gx8ij0v …";;;#CretanHoney #thymehoney #crete #greece #creteisland #welovegreece #greek #sunset #greeksunset #visitgreece #sfakia;"1041838270362075136";https://twitter.com/Cretanhoney_USA/status/1041838270362075136
;2018-09-17 21:28;3;8;"Challenges for the islands in the era of the Circular Economy. #circle2018 #chania #crete #circulareconomy #creteisland #interregmediterranean #greengrowth #europeancommission #greece #panoramed chania20-22 September 2018 pic.twitter.com/bIYrVT3Hqm";;;#circle2018 #chania #crete #circulareconomy #creteisland #interregmediterranean #greengrowth #europeancommission #greece #panoramed;"1041755907846270979";https://twitter.com/CreteRegion/status/1041755907846270979
;2018-09-17 16:36;0;0;"Tripps Travel Network Reviews Crete, Greece https:// trippstravelnetworkreviews.co #trippstravelnetwork #familyvacation #beachlife #beach #summer2018 #goodtimes #livelife #lovelife #travel #vacation #CreteGreece #cretegreece #crete #creteisland #greece https:// trippstravelnetwork.wordpress.com/2018/09/06/tri pps-travel-network-reviews-crete-greece/ …";;;#trippstravelnetwork #familyvacation #beachlife #beach #summer2018 #goodtimes #livelife #lovelife #travel #vacation #CreteGreece #cretegreece #crete #creteisland #greece;"1041682359945441280";https://twitter.com/jwmaxxsolutions/status/1041682359945441280
;2018-09-17 08:04;0;1;"The tree... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/Bn0JeIPFXmP/ ?utm_source=ig_twitter_share&igshid=1jjgxk35ekp0h …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography;"1041553334027599872";https://twitter.com/swter02027/status/1041553334027599872
;2018-09-16 17:19;0;0;"How beautiful can an island be? #crete #kreta #greece #creteisland #heraklion #palaiokastro #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism … https://www. instagram.com/p/BnykOHjnLQ8/ ?utm_source=ig_twitter_share&igshid=ys4fhk8ccng6 …";;;#crete #kreta #greece #creteisland #heraklion #palaiokastro #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism;"1041330716703907840";https://twitter.com/ManolisVarouhas/status/1041330716703907840
;2018-09-16 11:17;0;1;"At the end of summer #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #rethymnon #bali … https://www. instagram.com/p/Bnx6w9uFhRc/ ?utm_source=ig_twitter_share&igshid=1lifqa1kc0r41 …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #rethymnon #bali;"1041239517124976641";https://twitter.com/swter02027/status/1041239517124976641
;2018-09-16 11:08;1;1;"Back for the autumn. Soon. #kavousi #lasithi #creteisland #crete #greece #autumnincrete #autumnwalks pic.twitter.com/tYVpvpzBVU";;;#kavousi #lasithi #creteisland #crete #greece #autumnincrete #autumnwalks;"1041237431977213952";https://twitter.com/seasidegirl22/status/1041237431977213952
